100_Braza_fem
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GUDÍN PÉREZ, ANDREA",11824,"ARIAS PACHECO, ELENA",12221,11.4,100.0,9,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
2,"GUDÍN PÉREZ, ANDREA",11824,"GARCIA VAZQUEZ, MARTA",12903,10.4,98.27160493827161,8,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
3,"GUDÍN PÉREZ, ANDREA",11824,"CASTRO DE LA FUENTE, UXIA",13066,9.6,95.35802469135803,8,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
4,"ARIAS PACHECO, ELENA",12221,"GARCIA VAZQUEZ, MARTA",12903,9.297777777777778,67.01234567901234,4,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
5,"GUDÍN PÉREZ, ANDREA",11824,"CAPLEA, STELIANA MARIA",13351,9.2,92.49382716049382,8,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
6,"GUDÍN PÉREZ, ANDREA",11824,"MARTINEZ MORAN, ESTHER",13626,9.0,92.49382716049382,8,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
7,"ARIAS PACHECO, ELENA",12221,"CASTRO DE LA FUENTE, UXIA",13066,8.497777777777777,63.061728395061735,4,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
8,"ARIAS PACHECO, ELENA",12221,"CAPLEA, STELIANA MARIA",13351,8.097777777777777,61.72839506172839,4,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
9,"ARIAS PACHECO, ELENA",12221,"MARTINEZ MORAN, ESTHER",13626,7.897777777777778,61.382716049382715,4,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
10,"GARCIA VAZQUEZ, MARTA",12903,"CASTRO DE LA FUENTE, UXIA",13066,7.082962962962963,61.33333333333333,3,"(('GARCIA GARAY, MACARENA', 11942.0), ('SÁNCHEZ TOJA, CANDELA', 12187.0))","(('GONZALEZ PIÑEIRO, LAURA', 12139.0), ('GONZALEZ GONZALEZ, IARA', 12262.0))"
