200_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",23443,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,9.044444444444444,76.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
2,"CONDE VARELA, DAVID",23443,"MARTINEZ ARGIZ, DAVID",25669,8.444444444444445,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"MARTINEZ ARGIZ, DAVID",25669,7.881481481481481,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
4,"CONDE VARELA, DAVID",23443,"PONTON RODRIGUEZ, JAVIER",32138,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
5,"CONDE VARELA, DAVID",23443,"LOSADA TORRES, ISAAC",32288,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
6,"CONDE VARELA, DAVID",23443,"REGUEIRA MOURE, ANDER",33788,7.044444444444444,63.55555555555556,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
7,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"PONTON RODRIGUEZ, JAVIER",32138,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"LOSADA TORRES, ISAAC",32288,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
9,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"REGUEIRA MOURE, ANDER",33788,6.481481481481482,59.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
10,"MARTINEZ ARGIZ, DAVID",25669,"PONTON RODRIGUEZ, JAVIER",32138,6.0814814814814815,60.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
