50_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",2351,"PONTON RODRIGUEZ, JUAN",2463,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
2,"PONTON RODRIGUEZ, JAVIER",2351,"PEREZ TIERRA, ISMAEL",2496,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
3,"PONTON RODRIGUEZ, JUAN",2463,"PEREZ TIERRA, ISMAEL",2496,10.297777777777778,84.54320987654322,5,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
4,"PONTON RODRIGUEZ, JAVIER",2351,"BALLESTER IBAÑEZ, EDGAR",2593,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
5,"PONTON RODRIGUEZ, JAVIER",2351,"CONDE VARELA, DAVID",2598,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
6,"PONTON RODRIGUEZ, JAVIER",2351,"ARIAS FRANCO, ODEI",2611,9.4,88.44444444444444,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
7,"PONTON RODRIGUEZ, JAVIER",2351,"LOPEZ RODRIGUEZ, HUGO",2654,9.0,86.86419753086419,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
8,"PONTON RODRIGUEZ, JUAN",2463,"BALLESTER IBAÑEZ, EDGAR",2593,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
9,"PONTON RODRIGUEZ, JUAN",2463,"CONDE VARELA, DAVID",2598,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
10,"PEREZ TIERRA, ISMAEL",2496,"BALLESTER IBAÑEZ, EDGAR",2593,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
