100_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",10865,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,9.497777777777777,83.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
2,"CONDE VARELA, DAVID",10865,"PONTON RODRIGUEZ, JUAN",11448,9.497777777777777,83.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
3,"CONDE VARELA, DAVID",10865,"MARTINEZ ARGIZ, DAVID",11934,8.897777777777778,80.19753086419753,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
4,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,"PONTON RODRIGUEZ, JUAN",11448,8.33827160493827,77.38271604938272,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
5,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,"MARTINEZ ARGIZ, DAVID",11934,7.738271604938272,69.03703703703704,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
6,"PONTON RODRIGUEZ, JUAN",11448,"MARTINEZ ARGIZ, DAVID",11934,7.738271604938272,69.03703703703704,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
7,"CONDE VARELA, DAVID",10865,"REGUEIRA MOURE, ANDER",13264,7.697777777777778,75.30864197530865,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,"REGUEIRA MOURE, ANDER",13264,6.538271604938272,55.654320987654316,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
9,"PONTON RODRIGUEZ, JUAN",11448,"REGUEIRA MOURE, ANDER",13264,6.538271604938272,55.654320987654316,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
10,"MARTINEZ ARGIZ, DAVID",11934,"REGUEIRA MOURE, ANDER",13264,5.831111111111111,42.864197530864196,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
