100_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",5176,"PONTON RODRIGUEZ, JUAN",5517,11.0,98.81481481481481,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
2,"PONTON RODRIGUEZ, JAVIER",5176,"BALLESTER IBAÑEZ, EDGAR",5536,11.0,98.81481481481481,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
3,"PONTON RODRIGUEZ, JUAN",5517,"BALLESTER IBAÑEZ, EDGAR",5536,9.29037037037037,64.5925925925926,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
4,"PONTON RODRIGUEZ, JAVIER",5176,"CONDE VARELA, DAVID",5881,8.8,71.11111111111111,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
5,"PONTON RODRIGUEZ, JAVIER",5176,"ARIAS FRANCO, ODEI",5941,8.8,71.11111111111111,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
6,"PONTON RODRIGUEZ, JUAN",5517,"CONDE VARELA, DAVID",5881,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
7,"PONTON RODRIGUEZ, JUAN",5517,"ARIAS FRANCO, ODEI",5941,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
8,"BALLESTER IBAÑEZ, EDGAR",5536,"CONDE VARELA, DAVID",5881,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
9,"BALLESTER IBAÑEZ, EDGAR",5536,"ARIAS FRANCO, ODEI",5941,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
10,"CONDE VARELA, DAVID",5881,"ARIAS FRANCO, ODEI",5941,4.6,9.333333333333334,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
