50_Braza_fem
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GUDÍN PÉREZ, ANDREA",3467,"ARIAS PACHECO, ELENA",3763,11.8,100.0,11,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
2,"GUDÍN PÉREZ, ANDREA",3467,"GARCIA VAZQUEZ, MARTA",4081,10.4,98.27160493827161,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
3,"GUDÍN PÉREZ, ANDREA",3467,"MARTINEZ MORAN, ESTHER",4161,10.2,98.27160493827161,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
4,"ARIAS PACHECO, ELENA",3763,"GARCIA VAZQUEZ, MARTA",4081,10.0,82.96296296296296,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
5,"ARIAS PACHECO, ELENA",3763,"MARTINEZ MORAN, ESTHER",4161,9.8,82.96296296296296,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
6,"GUDÍN PÉREZ, ANDREA",3467,"CASTRO DE LA FUENTE, UXIA",4282,9.2,90.37037037037037,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
7,"GUDÍN PÉREZ, ANDREA",3467,"VILA GONZALEZ, MARTINA",4404,9.0,90.37037037037037,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
8,"GUDÍN PÉREZ, ANDREA",3467,"CAPLEA, STELIANA MARIA",4428,9.0,90.37037037037037,8,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
9,"ARIAS PACHECO, ELENA",3763,"CASTRO DE LA FUENTE, UXIA",4282,8.8,76.04938271604938,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
10,"ARIAS PACHECO, ELENA",3763,"VILA GONZALEZ, MARTINA",4404,8.6,76.04938271604938,6,"(('GARCIA GARAY, MACARENA', 3645.0), ('SÁNCHEZ TOJA, CANDELA', 3776.0))","(('GONZALEZ PIÑEIRO, LAURA', 3788.0), ('GONZALEZ GONZALEZ, IARA', 3825.0))"
