50_Esp_fem
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"GONZALEZ BLANCO, PATRICIA",3294,"GUDÍN PÉREZ, ANDREA",3493,8.490370370370371,69.1358024691358,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
2,"GONZALEZ BLANCO, PATRICIA",3294,"VILA GONZALEZ, MARTINA",3551,8.29037037037037,66.37037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
3,"GONZALEZ BLANCO, PATRICIA",3294,"CASTRO DE LA FUENTE, UXIA",3612,7.6903703703703705,62.22222222222222,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
4,"GONZALEZ BLANCO, PATRICIA",3294,"VARELA MENDEZ, CLARA",3636,7.6903703703703705,62.22222222222222,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
5,"GONZALEZ BLANCO, PATRICIA",3294,"PRATS MOREIRAS, XIMENA",3696,7.29037037037037,59.7037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
6,"GONZALEZ BLANCO, PATRICIA",3294,"GARCIA VAZQUEZ, MARTA",3698,7.29037037037037,59.7037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
7,"GONZALEZ BLANCO, PATRICIA",3294,"MARTINEZ MORAN, ESTHER",3720,7.29037037037037,59.7037037037037,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
8,"GUDÍN PÉREZ, ANDREA",3493,"VILA GONZALEZ, MARTINA",3551,7.262222222222222,54.962962962962955,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
9,"GUDÍN PÉREZ, ANDREA",3493,"CASTRO DE LA FUENTE, UXIA",3612,6.662222222222222,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
10,"GUDÍN PÉREZ, ANDREA",3493,"VARELA MENDEZ, CLARA",3636,6.662222222222222,46.666666666666664,3,"(('GARCIA GARAY, MACARENA', 3181.0), ('OUVIÑA PICOS, NADIUSKA', 3230.0))","(('BLANCO ROUCO, CARMEN', 3086.0), ('RODRIGUEZ RODRIGUEZ, NINA', 3241.0))"
