200_Estilos_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",21627,"ARIAS FRANCO, ODEI",22234,9.45,90.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
2,"CONDE VARELA, DAVID",21627,"PONTON RODRIGUEZ, JAVIER",22406,8.85,80.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
3,"ARIAS FRANCO, ODEI",22234,"PONTON RODRIGUEZ, JAVIER",22406,8.55,80.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
4,"CONDE VARELA, DAVID",21627,"MARTINEZ ARGIZ, DAVID",23588,8.25,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
5,"ARIAS FRANCO, ODEI",22234,"MARTINEZ ARGIZ, DAVID",23588,7.95,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
6,"CONDE VARELA, DAVID",21627,"REGUEIRA MOURE, ANDER",25043,7.5,74.28571428571429,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
7,"ARIAS FRANCO, ODEI",22234,"REGUEIRA MOURE, ANDER",25043,7.2,73.57142857142858,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
8,"PONTON RODRIGUEZ, JAVIER",22406,"MARTINEZ ARGIZ, DAVID",23588,7.15,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
9,"PONTON RODRIGUEZ, JAVIER",22406,"REGUEIRA MOURE, ANDER",25043,6.4,70.0,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
10,"MARTINEZ ARGIZ, DAVID",23588,"REGUEIRA MOURE, ANDER",25043,5.75,64.28571428571429,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
