50_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",3146,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,10.64,89.9753086419753,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
2,"CONDE VARELA, DAVID",3146,"PONTON RODRIGUEZ, JUAN",3364,10.04,83.4567901234568,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"PONTON RODRIGUEZ, JUAN",3364,9.697777777777778,83.4567901234568,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
4,"CONDE VARELA, DAVID",3146,"MARTINEZ ARGIZ, DAVID",3528,9.44,81.62962962962963,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
5,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"MARTINEZ ARGIZ, DAVID",3528,9.097777777777777,81.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
6,"CONDE VARELA, DAVID",3146,"REGUEIRA MOURE, ANDER",3978,8.24,78.2716049382716,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
7,"PONTON RODRIGUEZ, JUAN",3364,"MARTINEZ ARGIZ, DAVID",3528,8.177777777777777,80.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"REGUEIRA MOURE, ANDER",3978,7.897777777777778,76.74074074074075,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
9,"PONTON RODRIGUEZ, JUAN",3364,"REGUEIRA MOURE, ANDER",3978,6.977777777777778,70.37037037037037,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
10,"MARTINEZ ARGIZ, DAVID",3528,"REGUEIRA MOURE, ANDER",3978,6.262222222222222,45.925925925925924,3,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
