100_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",5176,"PONTON RODRIGUEZ, JUAN",5517,11.0,98.81481481481481,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
2,"PONTON RODRIGUEZ, JAVIER",5176,"BALLESTER IBAÑEZ, EDGAR",5536,11.0,98.81481481481481,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
3,"PONTON RODRIGUEZ, JUAN",5517,"BALLESTER IBAÑEZ, EDGAR",5536,9.29037037037037,64.5925925925926,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
4,"PONTON RODRIGUEZ, JAVIER",5176,"CONDE VARELA, DAVID",5881,8.8,71.11111111111111,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
5,"PONTON RODRIGUEZ, JAVIER",5176,"ARIAS FRANCO, ODEI",5941,8.8,71.11111111111111,8,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
6,"PONTON RODRIGUEZ, JUAN",5517,"CONDE VARELA, DAVID",5881,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
7,"PONTON RODRIGUEZ, JUAN",5517,"ARIAS FRANCO, ODEI",5941,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
8,"BALLESTER IBAÑEZ, EDGAR",5536,"CONDE VARELA, DAVID",5881,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
9,"BALLESTER IBAÑEZ, EDGAR",5536,"ARIAS FRANCO, ODEI",5941,7.09037037037037,36.79012345679013,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
10,"CONDE VARELA, DAVID",5881,"ARIAS FRANCO, ODEI",5941,4.6,9.333333333333334,3,"(('PÉREZ LORENZO, MANUEL', 5325.0), ('SANLÉS DIESTE, HUGO', 5404.0))","(('MENDEZ PUGA, MARIO', 5271.0), ('ALONSO GATO, OSCAR', 5505.0))"
200_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"VALCARCE DOMINGUEZ, PABLO",20012,"PONTON RODRIGUEZ, JAVIER",20038,10.297777777777778,91.35802469135803,5,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
2,"VALCARCE DOMINGUEZ, PABLO",20012,"BALLESTER IBAÑEZ, EDGAR",20615,8.697777777777778,65.33333333333333,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
3,"PONTON RODRIGUEZ, JAVIER",20038,"BALLESTER IBAÑEZ, EDGAR",20615,8.697777777777778,65.33333333333333,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
4,"VALCARCE DOMINGUEZ, PABLO",20012,"CONDE VARELA, DAVID",20973,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
5,"VALCARCE DOMINGUEZ, PABLO",20012,"PONTON RODRIGUEZ, JUAN",21157,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
6,"PONTON RODRIGUEZ, JAVIER",20038,"CONDE VARELA, DAVID",20973,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
7,"PONTON RODRIGUEZ, JAVIER",20038,"PONTON RODRIGUEZ, JUAN",21157,7.897777777777778,61.03703703703703,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
8,"VALCARCE DOMINGUEZ, PABLO",20012,"SUAREZ FERNÁNDEZ, SANTIAGO",21323,7.497777777777777,60.14814814814815,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
9,"PONTON RODRIGUEZ, JAVIER",20038,"SUAREZ FERNÁNDEZ, SANTIAGO",21323,7.497777777777777,60.14814814814815,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
10,"VALCARCE DOMINGUEZ, PABLO",20012,"ARIAS FRANCO, ODEI",21621,7.297777777777778,59.7037037037037,4,"(('SANLÉS DIESTE, HUGO', 15632.0), ('PÉREZ LORENZO, MANUEL', 15769.0))","(('MENDEZ PUGA, MARIO', 15280.0), ('ALONSO VIDAL, TEO', 20071.0))"
200_Estilos_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",21627,"ARIAS FRANCO, ODEI",22234,9.45,90.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
2,"CONDE VARELA, DAVID",21627,"PONTON RODRIGUEZ, JAVIER",22406,8.85,80.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
