Prueba,Club,Número de Nadadores
100 m Bolboreta Feminino,CIDSANTI,2
100 m Bolboreta Feminino,MOLEMOS,2
100 m Bolboreta Feminino,NTNARON,1
100 m Bolboreta Masculino,CIDSANTI,2
100 m Bolboreta Masculino,MOLEMOS,2
100 m Bolboreta Masculino,NTNARON,2
100 m Braza Feminino,CIDSANTI,2
100 m Braza Feminino,MOLEMOS,2
100 m Braza Feminino,NTNARON,2
100 m Braza Masculino,CIDSANTI,2
100 m Braza Masculino,MOLEMOS,2
100 m Braza Masculino,NTNARON,2
100 m Costas Feminino,CIDSANTI,2
100 m Costas Feminino,MOLEMOS,2
100 m Costas Feminino,NTNARON,1
100 m Libre Masculino,CIDSANTI,4
100 m Libre Masculino,MOLEMOS,4
100 m Libre Masculino,NTNARON,4
1500 m Libre Masculino,CIDSANTI,2
1500 m Libre Masculino,MOLEMOS,2
1500 m Libre Masculino,NTNARON,2
200 m Costas Feminino,CIDSANTI,4
200 m Costas Feminino,MOLEMOS,4
200 m Costas Feminino,NTNARON,4
200 m Costas Masculino,CIDSANTI,4
200 m Costas Masculino,MOLEMOS,4
200 m Costas Masculino,NTNARON,4
200 m Estilos Feminino,CIDSANTI,2
200 m Estilos Feminino,MOLEMOS,2
200 m Estilos Feminino,NTNARON,2
200 m Estilos Masculino,CIDSANTI,2
200 m Estilos Masculino,MOLEMOS,2
200 m Estilos Masculino,NTNARON,2
200 m Libre Feminino,CIDSANTI,2
200 m Libre Feminino,MOLEMOS,2
200 m Libre Feminino,NTNARON,2
200 m Mariposa Masculino,CIDSANTI,2
200 m Mariposa Masculino,MOLEMOS,2
200 m Mariposa Masculino,NTNARON,2
400 m Estilos Feminino,CIDSANTI,2
400 m Estilos Feminino,MOLEMOS,2
400 m Estilos Feminino,NTNARON,2
400 m Estilos Masculino,CIDSANTI,2
400 m Estilos Masculino,MOLEMOS,2
400 m Estilos Masculino,NTNARON,2
400 m Libre Feminino,ADNTNARON,1
400 m Libre Feminino,CDNCIDADESANTIAGO,2
400 m Libre Feminino,CNMONFORTE,1
400 m Libre Masculino,CDNCIDADESANTIAGO,4
400 m Libre Masculino,CNMONFORTE,5
400 m Libre Masculino,NTNARON,2
4x100 m Estilos Feminino,CIDSANTI,2
4x100 m Estilos Feminino,MOLEMOS,2
4x100 m Estilos Feminino,NTNARON,2
4x100 m Libre Feminino,CIDSANTI,2
4x100 m Libre Feminino,MOLEMOS,2
4x100 m Libre Feminino,NTNARON,2
4x100 m Libre Masculino,CIDSANTI,2
4x100 m Libre Masculino,MOLEMOS,2
4x100 m Libre Masculino,NTNARON,2
4x50 m Estilos Feminino,CIDSANTI,2
4x50 m Estilos Feminino,MOLEMOS,2
4x50 m Estilos Feminino,NTNARON,2
4x50 m Estilos Masculino,CIDSANTI,2
4x50 m Estilos Masculino,MOLEMOS,2
4x50 m Estilos Masculino,NTNARON,2
4x50 m Libre Feminino,CIDSANTI,2
4x50 m Libre Feminino,MOLEMOS,2
4x50 m Libre Feminino,NTNARON,2
4x50 m Libre Masculino,CIDSANTI,2
4x50 m Libre Masculino,MOLEMOS,2
4x50 m Libre Masculino,NTNARON,2
50 m Bolboreta Masculino,CIDSANTI,2
50 m Bolboreta Masculino,MOLEMOS,2
50 m Bolboreta Masculino,NTNARON,2
50 m Braza Feminino,CIDSANTI,2
50 m Braza Feminino,MOLEMOS,2
50 m Braza Feminino,NTNARON,1
50 m Braza Masculino,CIDSANTI,2
50 m Braza Masculino,MOLEMOS,2
50 m Braza Masculino,NTNARON,2
50 m Costas Feminino,CIDSANTI,2
50 m Costas Feminino,MOLEMOS,2
50 m Costas Feminino,NTNARON,2
50 m Costas Masculino,CIDSANTI,2
50 m Costas Masculino,MOLEMOS,2
50 m Costas Masculino,NTNARON,2
50 m Libre Feminino,CIDSANTI,4
50 m Libre Feminino,MOLEMOS,4
50 m Libre Feminino,NTNARON,4
50 m Libre Masculino,CIDSANTI,2
50 m Libre Masculino,MOLEMOS,2
50 m Libre Masculino,NTNARON,2
800 m Libre Feminino,CIDSANTI,2
800 m Libre Feminino,MOLEMOS,2
800 m Libre Feminino,NTNARON,2
